review,rating,date,bank,source,sentiment_label,sentiment_score,themes
"it,s good app and time manager 👍",5,2025-05-30,CBE,Google Play,positive,0.4404,"Customer Feedback, Transaction Speed, UI & Usability"
malkaamuu jiidhaa namoo,5,2025-05-30,CBE,Google Play,neutral,0.0,Uncategorized
lower system everything,3,2025-05-30,CBE,Google Play,negative,-0.296,Uncategorized
nice!,5,2025-05-30,CBE,Google Play,positive,0.4753,Customer Feedback
keep it up my cbe,5,2025-05-29,CBE,Google Play,neutral,0.0,App Source
yes good,5,2025-05-28,CBE,Google Play,positive,0.6808,Customer Feedback
"i was using this app for the last two years with no problems. it stopped working about 3 months ago. when i tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,CBE,Google Play,negative,-0.3274,"UI & Usability, Developer Feedback, Functionality, App Platform, Transaction Speed"
i like everything of this app,5,2025-05-27,CBE,Google Play,positive,0.3612,"Customer Feedback, UI & Usability"
🤬🤬🤬🤬 network 🛜,1,2025-05-26,CBE,Google Play,neutral,0.0,Functionality
best,5,2025-05-26,CBE,Google Play,positive,0.6369,Customer Feedback
cbe is the best financial application and and very dimple to use. i would like to say thank you so much for the developer of application. i really appreciate this app.,5,2025-05-26,CBE,Google Play,positive,0.9041,"Customer Feedback, UI & Usability, App Source"
nice,5,2025-05-26,CBE,Google Play,positive,0.4215,Customer Feedback
good job,5,2025-05-26,CBE,Google Play,positive,0.4404,Customer Feedback
it's awesome!!,5,2025-05-25,CBE,Google Play,positive,0.6892,Uncategorized
thankyou every one,5,2025-05-25,CBE,Google Play,neutral,0.0,Uncategorized
ronaldo 🇵🇹 🥇,5,2025-05-25,CBE,Google Play,positive,0.4767,Uncategorized
"this app is absolutely fantastic i love it and i enjoying to it ,let us support this foundation together .",5,2025-05-25,CBE,Google Play,positive,0.9377,UI & Usability
"the cbe app has been highly unreliable in recent weeks. it frequently fails to work properly on both ethio telecom and safaricom networks, whether using wi-fi or mobile data. this week, the system was down entirely for extended periods, making it very difficult to access banking services. the app only functions intermittently, and the lack of consistency is frustrating. i hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,CBE,Google Play,negative,-0.7841,"App Source, Customer Support, UI & Usability, Functionality, App Platform, Customer Feedback, App Purpose"
mortuary app,5,2025-05-25,CBE,Google Play,neutral,0.0,UI & Usability
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,CBE,Google Play,positive,0.2144,"Transaction Speed, UI & Usability"
amazing app i am used this app for one year,4,2025-05-24,CBE,Google Play,positive,0.5859,"UI & Usability, Functionality"
👍,5,2025-05-24,CBE,Google Play,neutral,0.0,Uncategorized
good app,5,2025-05-24,CBE,Google Play,positive,0.4404,"Customer Feedback, UI & Usability"
i love it 😍😘,5,2025-05-24,CBE,Google Play,positive,0.875,Uncategorized
it makes life easy!👌,5,2025-05-24,CBE,Google Play,positive,0.8528,"UI & Usability, Feature Request"
its not fast,1,2025-05-24,CBE,Google Play,neutral,0.0,Transaction Speed
wow,4,2025-05-24,CBE,Google Play,positive,0.5859,Uncategorized
it is sooo good,5,2025-05-24,CBE,Google Play,positive,0.4404,Customer Feedback
excellent,5,2025-05-24,CBE,Google Play,positive,0.5719,Uncategorized
ok,1,2025-05-24,CBE,Google Play,positive,0.296,Uncategorized
fantastic,5,2025-05-23,CBE,Google Play,positive,0.5574,Uncategorized
accessible to using,5,2025-05-23,CBE,Google Play,neutral,0.0,App Platform
i like it,4,2025-05-23,CBE,Google Play,positive,0.3612,Customer Feedback
why you change default network?,5,2025-05-23,CBE,Google Play,neutral,0.0,Functionality
very nice 👍,5,2025-05-23,CBE,Google Play,positive,0.4754,Customer Feedback
nice fast app,5,2025-05-23,CBE,Google Play,positive,0.4215,"Customer Feedback, Transaction Speed, UI & Usability"
how to i get my money,5,2025-05-23,CBE,Google Play,neutral,0.0,Transaction Usage
"very bad, can't even load they need to improve their services.",1,2025-05-22,CBE,Google Play,negative,-0.2247,"Login & Access, Customer Support, Negative Feedback"
"very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,CBE,Google Play,positive,0.6183,"Customer Feedback, Transaction Speed, UI & Usability, Feature Request"
very busy i don't know why... i prefer 889,3,2025-05-22,CBE,Google Play,neutral,0.0,Functionality
"sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,CBE,Google Play,neutral,0.0343,"Transaction Speed, Feature Request, Functionality"
the most boring mobil banking application in ethiopia.please use alternative private banks mobile banking apps,1,2025-05-22,CBE,Google Play,negative,-0.3804,"Customer Feedback, UI & Usability, App Purpose"
hojii bonsaadha,5,2025-05-22,CBE,Google Play,neutral,0.0,Uncategorized
user-friendly apps.because this app is easy.,5,2025-05-22,CBE,Google Play,positive,0.4404,"UI & Usability, Functionality"
awosome!!!,5,2025-05-22,CBE,Google Play,neutral,0.0,Uncategorized
"very good app,",5,2025-05-22,CBE,Google Play,positive,0.4927,"Customer Feedback, UI & Usability"
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,CBE,Google Play,positive,0.4854,Uncategorized
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,CBE,Google Play,positive,0.4754,"Customer Feedback, UI & Usability"
i hate this app 😒,1,2025-05-22,CBE,Google Play,negative,-0.5719,UI & Usability
trustful,5,2025-05-22,CBE,Google Play,positive,0.4767,Uncategorized
i like,5,2025-05-22,CBE,Google Play,positive,0.3612,Customer Feedback
update issue,4,2025-05-22,CBE,Google Play,neutral,0.0,Feature Request
its not working over safari network,1,2025-05-22,CBE,Google Play,neutral,0.0,Functionality
oldie,1,2025-05-22,CBE,Google Play,neutral,0.0,Uncategorized
it doesn't work,1,2025-05-21,CBE,Google Play,neutral,0.0,Functionality
"this app is good, and we are using it well",1,2025-05-21,CBE,Google Play,positive,0.6124,"App Platform, Customer Feedback, UI & Usability"
very nice 👌 app for android phone,5,2025-05-21,CBE,Google Play,positive,0.8679,"Customer Feedback, UI & Usability"
yes yes,5,2025-05-21,CBE,Google Play,positive,0.6597,Uncategorized
በጣም ከርፋፋ,1,2025-05-21,CBE,Google Play,neutral,0.0,Uncategorized
easy to use helpful in my life,5,2025-05-21,CBE,Google Play,positive,0.6908,UI & Usability
good 👍,4,2025-05-21,CBE,Google Play,positive,0.4404,Customer Feedback
the best mobile banking app,5,2025-05-21,CBE,Google Play,positive,0.6369,"Customer Feedback, UI & Usability, App Purpose"
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,CBE,Google Play,positive,0.6801,"Transaction Speed, UI & Usability"
it's a good application 👍,5,2025-05-21,CBE,Google Play,positive,0.4404,"Customer Feedback, UI & Usability"
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,CBE,Google Play,negative,-0.5836,"Feature Request, Functionality"
poor service,1,2025-05-21,CBE,Google Play,negative,-0.4767,Customer Support
amazing,5,2025-05-20,CBE,Google Play,positive,0.5859,UI & Usability
it is reliable and easy to use.,5,2025-05-20,CBE,Google Play,positive,0.4404,UI & Usability
the most annoying mobile banking app i've ever seen,1,2025-05-20,CBE,Google Play,negative,-0.4576,"Customer Feedback, UI & Usability, App Purpose"
eliasmels,5,2025-05-20,CBE,Google Play,neutral,0.0,Uncategorized
cbe mobile banking,5,2025-05-20,CBE,Google Play,neutral,0.0,"Customer Feedback, App Purpose, App Source"
"i can't make screenshout in this app, please made modification",5,2025-05-20,CBE,Google Play,positive,0.3182,"UI & Usability, Feature Request"
best app i loved it,5,2025-05-19,CBE,Google Play,positive,0.8442,"Customer Feedback, UI & Usability"
nice app,5,2025-05-19,CBE,Google Play,positive,0.4215,"Customer Feedback, UI & Usability"
amazing applicatiom sometimes doesnt work!,5,2025-05-18,CBE,Google Play,positive,0.6239,"Transaction Speed, UI & Usability, Feature Request, Functionality"
well satisfied with this beautiful app,5,2025-05-18,CBE,Google Play,positive,0.8316,UI & Usability
very good,4,2025-05-17,CBE,Google Play,positive,0.4927,Customer Feedback
best app.,5,2025-05-17,CBE,Google Play,positive,0.6369,"Customer Feedback, UI & Usability"
"not working,why???",5,2025-05-17,CBE,Google Play,neutral,0.0,"Language/Other, Functionality"
great impact but why developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,CBE,Google Play,positive,0.3716,"Customer Feedback, Functionality"
always disappointing ! especially the ios one !! some similar local applications are extremely superior to this application!! really disappointing!,1,2025-05-17,CBE,Google Play,negative,-0.6209,UI & Usability
woxe harimo ribiso,5,2025-05-17,CBE,Google Play,neutral,0.0,Uncategorized
"good ,easy to use",5,2025-05-16,CBE,Google Play,positive,0.7003,"Customer Feedback, UI & Usability"
good app,5,2025-05-15,CBE,Google Play,positive,0.4404,"Customer Feedback, UI & Usability"
good job👍,5,2025-05-14,CBE,Google Play,positive,0.4404,Customer Feedback
"please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,CBE,Google Play,positive,0.7579,"UI & Usability, Feature Request, Functionality"
i have using the cbe mobile banking app. and overall i appreciate its feuteres however i.ve notticed that when i turn on the developer options on my divice the app.stop functioning prorerly it.would be great if you could look into this issue as l often need to access developer setting for otter application thankyou for your attention to this matter,4,2025-05-13,CBE,Google Play,positive,0.8728,"Login & Access, App Source, UI & Usability, Functionality, App Platform, Customer Feedback, App Purpose"
customer service is bad nothing is good about this bank,1,2025-05-13,CBE,Google Play,negative,-0.7101,"Customer Feedback, Customer Support, Negative Feedback"
it is amazing mobile banking app....but why the screenshot of the receipt doesnt work,5,2025-05-13,CBE,Google Play,positive,0.5859,"Customer Feedback, UI & Usability, App Purpose, Functionality"
fast and simple easy to use 👌,5,2025-05-12,CBE,Google Play,positive,0.8415,"Transaction Speed, UI & Usability"
the fastest transferring app i ever had its so reliable,5,2025-05-11,CBE,Google Play,neutral,0.0,"Transaction Speed, UI & Usability"
"funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,CBE,Google Play,neutral,0.0,"Customer Feedback, Transaction Speed, Developer Feedback"
it's easy and fast,5,2025-05-10,CBE,Google Play,positive,0.4404,"Transaction Speed, UI & Usability"
this app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,CBE,Google Play,negative,-0.5267,"App Source, UI & Usability, Functionality"
hello dearest cbe office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,CBE,Google Play,positive,0.9524,"App Platform, App Source, Feature Request, Developer Feedback"
wow best application ever,5,2025-05-09,CBE,Google Play,positive,0.8402,"Customer Feedback, UI & Usability"
"am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,CBE,Google Play,negative,-0.4871,"Customer Feedback, UI & Usability, Feature Request, Functionality"
the pride of ethiopian bank 🏦,5,2025-05-08,CBE,Google Play,positive,0.34,Customer Feedback
why the app telling me to turn of developer options please fix it.,1,2025-05-07,CBE,Google Play,positive,0.3182,"Customer Feedback, UI & Usability, Functionality"
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,CBE,Google Play,positive,0.6115,"Transaction Speed, UI & Usability"
amazing apps,5,2025-05-06,CBE,Google Play,positive,0.5859,UI & Usability
all service of mobile banking,5,2025-05-06,CBE,Google Play,neutral,0.0,"Customer Feedback, Customer Support, App Purpose"
needs improvement,1,2025-05-06,CBE,Google Play,positive,0.4588,"Login & Access, Feature Request"
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,CBE,Google Play,negative,-0.1531,Customer Feedback
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the dashen super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. i am considering leaving cbe for good.,2,2025-05-06,CBE,Google Play,positive,0.9348,"App Source, UI & Usability, Feature Request, Functionality, Customer Feedback, Transaction Speed"
good but these week not oky,4,2025-05-06,CBE,Google Play,positive,0.2382,Customer Feedback
well designed! fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,CBE,Google Play,positive,0.7772,"Customer Feedback, Functionality"
if any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,CBE,Google Play,positive,0.5307,"Customer Feedback, Transaction Speed, Feature Request, Functionality"
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,CBE,Google Play,positive,0.765,"Customer Feedback, Transaction Speed, App Purpose"
cbe mobilr bankg,5,2025-05-05,CBE,Google Play,neutral,0.0,"Customer Feedback, App Source"
verygood,3,2025-05-05,CBE,Google Play,neutral,0.0,Customer Feedback
ممتاز جدا,5,2025-05-04,CBE,Google Play,neutral,0.0,Uncategorized
it's very low quality application,1,2025-05-04,CBE,Google Play,negative,-0.3384,UI & Usability
very amazing apps,5,2025-05-04,CBE,Google Play,positive,0.624,UI & Usability
አዛ,1,2025-05-04,CBE,Google Play,neutral,0.0,Uncategorized
wow simple life,5,2025-05-04,CBE,Google Play,positive,0.5859,UI & Usability
it's nice,5,2025-05-03,CBE,Google Play,positive,0.4215,Customer Feedback
why stacked sometimes,5,2025-05-03,CBE,Google Play,neutral,0.0,"Transaction Speed, Feature Request"
okay 👍 but sometimes busy,1,2025-05-03,CBE,Google Play,positive,0.1154,"Transaction Speed, Feature Request"
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,CBE,Google Play,negative,-0.7845,Negative Feedback
very good app. but disappointed by general cessation of system.,5,2025-05-02,CBE,Google Play,negative,-0.4684,"Customer Feedback, UI & Usability"
good and fast,5,2025-05-02,CBE,Google Play,positive,0.4404,"Customer Feedback, Transaction Speed"
unreliable!,1,2025-05-02,CBE,Google Play,neutral,0.0,Uncategorized
best the best fast,5,2025-05-02,CBE,Google Play,positive,0.8555,"Customer Feedback, Transaction Speed"
happy,5,2025-05-02,CBE,Google Play,positive,0.5719,UI & Usability
fast and reliable,5,2025-05-02,CBE,Google Play,neutral,0.0,Transaction Speed
network errorrrrrr,2,2025-05-02,CBE,Google Play,neutral,0.0,Functionality
best app but there is some problem i can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,CBE,Google Play,negative,-0.2382,"Customer Feedback, Transaction Usage, UI & Usability"
its good and simple to use,5,2025-05-02,CBE,Google Play,positive,0.4404,"Customer Feedback, UI & Usability"
worest app like that bank for security and network access,1,2025-05-02,CBE,Google Play,positive,0.5994,"Customer Feedback, UI & Usability, Functionality"
it's the best app i,5,2025-05-02,CBE,Google Play,positive,0.6369,"Customer Feedback, UI & Usability"
not bad not good,1,2025-05-02,CBE,Google Play,positive,0.5981,"Customer Feedback, Negative Feedback"
its very nice,5,2025-05-02,CBE,Google Play,positive,0.4754,Customer Feedback
do not work this week,3,2025-04-30,CBE,Google Play,neutral,0.0,Functionality
it crashes frequently,4,2025-04-30,CBE,Google Play,neutral,0.0,Uncategorized
the best,5,2025-04-28,CBE,Google Play,positive,0.6369,Customer Feedback
"i can simply describe this app as ""making all your work easier"".",5,2025-04-28,CBE,Google Play,positive,0.4215,"UI & Usability, Functionality"
goid,5,2025-04-28,CBE,Google Play,neutral,0.0,Uncategorized
best appearance,5,2025-04-27,CBE,Google Play,positive,0.6369,"Customer Feedback, UI & Usability"
it's very good 👍 app,5,2025-04-27,CBE,Google Play,positive,0.4927,"Customer Feedback, UI & Usability"
abinet kutafo,1,2025-04-27,CBE,Google Play,neutral,0.0,Uncategorized
i need support you,5,2025-04-27,CBE,Google Play,positive,0.4019,Login & Access
the worst mobile banking i have ever seen in my life,1,2025-04-26,CBE,Google Play,negative,-0.6249,"Customer Feedback, Negative Feedback, App Purpose"
nuree mahamud,5,2025-04-26,CBE,Google Play,neutral,0.0,Uncategorized
super,5,2025-04-26,CBE,Google Play,positive,0.5994,Uncategorized
ጠጀጨገጀ።ጀገ,5,2025-04-26,CBE,Google Play,neutral,0.0,Uncategorized
i like the app,5,2025-04-26,CBE,Google Play,positive,0.3612,"Customer Feedback, UI & Usability"
the best,1,2025-04-26,CBE,Google Play,positive,0.6369,Customer Feedback
to other bank is bad,1,2025-04-25,CBE,Google Play,negative,-0.5423,"Customer Feedback, Negative Feedback"
tank's,5,2025-04-25,CBE,Google Play,neutral,0.0,Uncategorized
its good but add more features such like. bank statement showing,5,2025-04-24,CBE,Google Play,positive,0.6804,Customer Feedback
it is so nice,5,2025-04-24,CBE,Google Play,positive,0.5598,Customer Feedback
very good👍,5,2025-04-21,CBE,Google Play,positive,0.4927,Customer Feedback
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,2025-04-21,CBE,Google Play,negative,-0.8797,"App Source, UI & Usability, Developer Feedback, Functionality, Customer Feedback, Transaction Speed, App Purpose"
"wow, amazing app",5,2025-04-21,CBE,Google Play,positive,0.8225,UI & Usability
use ful,5,2025-04-21,CBE,Google Play,neutral,0.0,UI & Usability
great app,5,2025-04-21,CBE,Google Play,positive,0.6249,"Customer Feedback, UI & Usability"
well app,5,2025-04-20,CBE,Google Play,positive,0.2732,UI & Usability
actually it is inactive,4,2025-04-19,CBE,Google Play,neutral,0.0,Uncategorized
"slow, only one account is used",2,2025-04-19,CBE,Google Play,neutral,0.0,"UI & Usability, Feature Request, Functionality, Developer Feedback"
always cbe is the leading commercial bank💪💪💪,5,2025-04-18,CBE,Google Play,neutral,0.0,"Customer Feedback, App Source"
i like it,5,2025-04-18,CBE,Google Play,positive,0.3612,Customer Feedback
why removing screenshot feature why?,1,2025-04-18,CBE,Google Play,neutral,0.0,Functionality
nice apps where network is good in connection,5,2025-04-18,CBE,Google Play,positive,0.6908,"Customer Feedback, UI & Usability, Functionality"
thank you!!!,5,2025-04-18,CBE,Google Play,positive,0.5229,Uncategorized
i can't take screenshot,1,2025-04-18,CBE,Google Play,neutral,0.0,Functionality
"every update was made the system better and better until the march 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. you add extra steps to us, which makes the process draw back",3,2025-04-18,CBE,Google Play,positive,0.7823,"UI & Usability, Feature Request, Functionality"
perfectly special,5,2025-04-18,CBE,Google Play,positive,0.7845,Uncategorized
fast and reliable,5,2025-04-18,CBE,Google Play,neutral,0.0,Transaction Speed
the best application i have ever seen in ethiopia banking industry.,5,2025-04-17,CBE,Google Play,positive,0.6369,"Customer Feedback, UI & Usability, Functionality, App Purpose"
great app!!!,5,2025-04-17,CBE,Google Play,positive,0.7163,"Customer Feedback, UI & Usability"
because sometimes it doesn't working it load too much,3,2025-04-17,CBE,Google Play,neutral,0.0,"Transaction Speed, UI & Usability, Feature Request, Functionality"
"absolutely the best app! it works flawlessly, anytime and anywhere.",5,2025-04-17,CBE,Google Play,positive,0.7629,"Customer Feedback, Transaction Speed, UI & Usability, Functionality"
very nice app ever!!!,5,2025-04-16,CBE,Google Play,positive,0.6084,"Customer Feedback, UI & Usability"
the best app,5,2025-04-16,CBE,Google Play,positive,0.6369,"Customer Feedback, UI & Usability"
biometric security for mobile banking is not available,5,2025-04-16,CBE,Google Play,positive,0.34,"Customer Feedback, App Purpose"
great,5,2025-04-15,CBE,Google Play,positive,0.6249,Customer Feedback
nice service,5,2025-04-15,CBE,Google Play,positive,0.4215,"Customer Feedback, Customer Support"
great app,5,2025-04-15,CBE,Google Play,positive,0.6249,"Customer Feedback, UI & Usability"
it's special apps,5,2025-04-15,CBE,Google Play,positive,0.4019,UI & Usability
"in the updated version of the app, it takes more time to download the receipt.",3,2025-04-15,CBE,Google Play,neutral,0.0,"Transaction Speed, UI & Usability, Feature Request"
ለምንድነው ትራንዛክሽን ትንሽ ብቻ የሚያሳየው ?,3,2025-04-14,CBE,Google Play,neutral,0.0,Uncategorized
good 🔥,5,2025-04-14,CBE,Google Play,positive,0.128,Customer Feedback
very interesting app i am using every day fantastic,5,2025-04-14,CBE,Google Play,positive,0.7645,"App Platform, UI & Usability"
lebaa bank,5,2025-04-14,CBE,Google Play,neutral,0.0,Customer Feedback
can't scan/recognize other banks' interoperable qr codes,1,2025-04-13,CBE,Google Play,neutral,0.0,Customer Feedback
ok,5,2025-04-13,CBE,Google Play,positive,0.296,Uncategorized
grateful app,5,2025-04-13,CBE,Google Play,positive,0.4588,UI & Usability
100% ❤️❤️❤️🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,5,2025-04-13,CBE,Google Play,neutral,0.0,Uncategorized
everthing wellbeok,3,2025-04-13,CBE,Google Play,neutral,0.0,Uncategorized
"""this mobile banking app is fast and user-friendly, but the only issue i encountered is that i can't access my bank statement within the app. i kindly request that this feature be added, similar to what is offered by other private bank mobile banking apps.",4,2025-04-13,CBE,Google Play,positive,0.6486,"UI & Usability, Functionality, Customer Feedback, Transaction Speed, App Purpose"
nice app 👌,5,2025-04-12,CBE,Google Play,positive,0.8374,"Customer Feedback, UI & Usability"
why did this app is not screenshot,5,2025-04-12,CBE,Google Play,neutral,0.0,"UI & Usability, Functionality"
it so good app,5,2025-04-12,CBE,Google Play,positive,0.4927,"Customer Feedback, UI & Usability"
جميل,5,2025-04-11,CBE,Google Play,neutral,0.0,Uncategorized
"less network, specially to make fee for utility purpose",1,2025-04-11,CBE,Google Play,neutral,0.0,"Feature Request, Functionality"
simply for used,4,2025-04-11,CBE,Google Play,neutral,0.0,"UI & Usability, Functionality"
wow keep up,5,2025-04-10,CBE,Google Play,positive,0.5859,Uncategorized
its great app but when updating we can't take screen shot please try to fix it,3,2025-04-10,CBE,Google Play,positive,0.6705,"Customer Feedback, UI & Usability, Functionality"
good one,5,2025-04-10,CBE,Google Play,positive,0.4404,Customer Feedback
everything is easy thank you cebe,5,2025-04-10,CBE,Google Play,positive,0.6597,UI & Usability
ፈጣን ቀልጣፋ,5,2025-04-10,CBE,Google Play,neutral,0.0,Uncategorized
ጎበዝ,5,2025-04-09,CBE,Google Play,neutral,0.0,Uncategorized
but this app says can't sync,5,2025-04-09,CBE,Google Play,neutral,0.0,UI & Usability
waw,5,2025-04-09,CBE,Google Play,neutral,0.0,Uncategorized
to slow,3,2025-04-09,CBE,Google Play,neutral,0.0,Feature Request
work on screen shot system,4,2025-04-08,CBE,Google Play,neutral,0.0,Functionality
very very nice aplication,1,2025-04-08,CBE,Google Play,positive,0.5222,Customer Feedback
wonder full and it is easy to use,5,2025-04-08,CBE,Google Play,positive,0.4404,UI & Usability
easy and reliable,2,2025-04-08,CBE,Google Play,positive,0.4404,UI & Usability
it is very useful app 👍,5,2025-04-07,CBE,Google Play,positive,0.4927,UI & Usability
perfect app,5,2025-04-07,CBE,Google Play,positive,0.5719,UI & Usability
i like it.,5,2025-04-07,CBE,Google Play,positive,0.3612,Customer Feedback
bugs,3,2025-04-07,CBE,Google Play,neutral,0.0,Uncategorized
commerial bank,5,2025-04-06,CBE,Google Play,neutral,0.0,Customer Feedback
genat biru,2,2025-04-06,CBE,Google Play,neutral,0.0,Uncategorized
🙏,5,2025-04-06,CBE,Google Play,neutral,0.0,Uncategorized
it is good but it doesn't allow screen shot,4,2025-04-06,CBE,Google Play,neutral,-0.0127,"Customer Feedback, Functionality"
the best one,5,2025-04-06,CBE,Google Play,positive,0.6369,Customer Feedback
you need to copy many things from other bank apps like amole(dashen),2,2025-04-06,CBE,Google Play,positive,0.3612,"Login & Access, App Source, UI & Usability, Customer Feedback, Transaction Speed"
bring back the screenshot feature.,1,2025-04-05,CBE,Google Play,neutral,0.0,Functionality
good!👍,3,2025-04-05,CBE,Google Play,positive,0.4926,Customer Feedback
best app to experience him that to smooth transaction among the customers,1,2025-04-05,CBE,Google Play,positive,0.6369,"Customer Feedback, Transaction Speed, UI & Usability"
nice app suitable to use it. the only weak side is it need data connections and hoping will be fixed to offline i gave 4 rate,4,2025-04-05,CBE,Google Play,positive,0.296,"Login & Access, Customer Feedback, UI & Usability, Functionality"
easy to use,5,2025-04-05,CBE,Google Play,positive,0.4404,UI & Usability
"good job to the cbe team on this mobile app! it's designed in a way that's simple and intuitive to navigate, which is great for everyone. it effectively handles the essential banking tasks i need to perform regularly. it's a practical and reliable tool that makes everyday banking much more convenient. thank you for this useful application.",5,2025-04-04,CBE,Google Play,positive,0.9464,"Login & Access, App Source, UI & Usability, Feature Request, Customer Feedback, App Purpose"
